title,question,answers
Yuan_dynasty,Who had Toghtogha tried to defeat?,"['Red Turban rebels', 'the Red Turban rebels']"
Jews,When did Jews originate as a national and religious group in the Middle East?,"during the second millennium BCE, in the part of the Levant known as the Land of Israel"
Mandolin,What style of Gisbon Mandolin was largely replicated?,Gibson F-5
The_Times,"In 2012, The Times added what suffix to its masthead?",of London
Capacitor,What characteristic can leakage current and parasitic effects be assumed to have in the equation for a realistic capacitor?,can be assumed to be linear
"New_Haven,_Connecticut",By how many rivers is the city of New Haven drained?,three
Human_Development_Index,What is Gabon's ranking?,119th
Department_store,What store led the Indonesian markets until 2010 when it closed? ,Harvey Nichols
Lighting,How many lemuns does a 15 watt fluorescent lamp produce?,800 lumens
Wood,What could we monitor electronically that could help inform new methods of wood protection?,Moisture content
Iran,What inscription referenced the term Aryan to Iranians?,Parthian
Rhine,What does the Nederrikn's name change into?,"['Lek', 'the Lek']"
Pope_Paul_VI,In Paul VI's view what does the Catholic ecumenical dialogue require from someone?,whole person
Force,What actually causes rigidity in matter?,"['the Pauli exclusion principle', 'Pauli exclusion principle']"
Immaculate_Conception,Is the view of the impregnation of Mary's pregnancy the same as the one held for the birth of her first child ?,doctrine of the immaculate conception (Mary being conceived free from original sin) is not to be confused with her virginal conception of her son Jesus
Roman_Republic,Which elected official lost the election in 121 BC?,Gaius
Frédéric_Chopin,What does J. Barrie Jones feel stands supreme of Chopin's concert pieces?,the four ballades and four scherzos
Religion_in_ancient_Rome,What Roman word was used to refer to the scared precinct?,templum
Philadelphia,What is the normal snowfall?,22.4 in
Pope_Paul_VI,What did the American Counsel of Bishops rally for?,religious freedom
Virgil,What is the name of the beautiful woman who Virgil enamoured?,Lucretia
Nigeria,When did President Goodluck Jonathan advocate limiting childbirth?,June 2012
Pacific_War,How many Japanese merchant ships did Allied submarines sink during the war?,"1,200"
Kievan_Rus%27,Why was the Republic of Novgorod doing so well while the Kievan Rus declined?,it controlled trade routes
Law_of_the_United_States,What can invalidate the rule of law?,"hopeless inefficiency, instability, and unpredictability"
Tennessee,"On average, how many days each year are there thunderstorms in Tennessee?",50
Comics,"What was seen as ""infantile"" in the United States?",comics
BBC_Television,Who was the leader of BBC Television in 2006?,Jana Bennett
FC_Barcelona,What type of group founded Espanyol?,Spanish football fans
Portugal,By what entity is the Algarve Cup hosted?,Portuguese Football Federation (FPF)  – Federação Portuguesa de Futebol
Steam_engine,Who developed the first commercial steam powered device?,"['Thomas Savery', 'Thomas Savery.']"
Queen_Victoria,What political view did Gladstone hold?,Liberal
Swaziland,When did the public finances in Swaziland decline?,the late 1990s
Chicago_Cubs,Where was the former location in Mesa?,the second HoHoKam Park
New_York_City,What was Juan Rodriguez's occupation?,trader
"Punjab,_Pakistan",When did Sikhism begin?,mid-fifteenth century
Hydrogen,When are these useful?,when hydrogen is purified by passage through hot palladium disks
Catalan_language,What forms are also common in the rest of Western Catalan?,verbal forms
Napoleon,The results of which battle allowed the British to blockade French coasts?,the Battle of Trafalgar
Humanism,During what time was a religious state replaced in the Notre Dame cathedral with a symbol of Humanism?,1793
Windows_8,How would one get Windows RT?,as pre-loaded software on devices specifically developed for it
Treaty,The terms and travaux preparatoire of the International Covenant on Civil and Political Rights were both factors in determining what aspect of the treaty as it relates to North Korea's stated intentions?,The possibility of withdrawal
Civil_disobedience,If law breaking is not done in a public manor it is not considered what term?,"['civil disobedience', 'lawbreaking']"
East_Prussia,What were common task of the corporation formed by the urban and rural districts?,"schools, traffic installations, hospitals, cultural institutions, jails"
Samurai,Who was Nene?,wife of Toyotomi Hideyoshi
London,What was the most common type of brick used to construct London's older buildings?,yellow London stock brick or a warm orange-red variety
Rhine,What is the legal boundary behind the High and Upper Rind?,Central Bridge
Federalism,"What passed on July 18, 2007?",Brussels' parliament
House_music,"Who had a hit single with ""jack the groove""?",Raze
Gamal_Abdel_Nasser,What project did Nasser cooperate with the Soviet Union on?,Aswan Dam
Mexico_City,What main languages are supported by shows at the National Auditorium?,Spanish and English
John_von_Neumann,How did von Neumann raise the level of economics?,several stunning publications
Washington_University_in_St._Louis,How many student organizations does Washington University have on campus?,300
Hellenistic_period,What does autarky mean?,self-sufficiency
Utrecht,How long did the castle last ,The castle would last less than 50 years before it was demolished in an uprising in the early stages of the Dutch Revolt
Arnold_Schwarzenegger,At which year's Mr. Olympia contest did Schwarzenegger become the youngest person to win the title?,1970
Liberal_Party_of_Australia,Who led the new Liberal National Party of Queensland through the election in March 2012?,"former Brisbane Lord Mayor, Campbell Newman"
Canon_law,What word characterizes the type of procedure found in American and British courts?,adversarial
Pain,What is an inefficient treatment for chronic pain which rarely provides any sort of true relief?,Surgical
Anti-aircraft_warfare,"In addition to ammo proposals, what other need was articulated?",The need for some form of tracer or smoke trail
Copyright_infringement,What percentage of people admit to pirating software?,57 percent
Pub,How much more gin than beer was made in England in 1740?,six times
History_of_India,"From the mid 13th century, what dominated politics in northern India?",Delhi Sultanate
Queen_Victoria,Who took on most of Victoria's duties while she grieved her mothers death?,Albert
"New_Haven,_Connecticut",The rise of gun factories within Connecticut earn the state what name?,The Arsenal of America
Southampton,How many people in the Southampton area receive hospital services from University Hospital Southampton NHS Foundation Trust?,"500,000"
A_cappella,What portion of the Swedish population engages in a cappella singing?,5%
Armenians,What is the Armenian Quarter?,one of the four quarters of the walled Old City of Jerusalem
Ministry_of_Defence_(United_Kingdom),Which aircraft manufacturer got a contract with the MoD?,Boeing
"Tucson,_Arizona",What was Tucson's population in 1900?,"7,531"
Poultry,Have theere been any types of chickens who were really good at cockfighting?,Breeds such as the Aseel were developed in the Indian subcontinent for their aggressive behaviour
Hellenistic_period,Who was Stratonice's father?,Antiochus II
Muammar_Gaddafi,In what decade was Gaddafi first accompanied by his female bodyguard?,1980s
Guinea-Bissau,When is the rainy season in Guinea-Bissau?,between June and September/October
Umayyad_Caliphate,"Along with Christians and Jews, what was a major non-Muslim religious group under the Umayyads?",Zoroastrian
Chihuahua_(state),How long did the U.S. continue to maintain control over the state capital after the treaty?,three months
Kathmandu,In what century was Bhrikuti said to live?,7th
Light-emitting_diode,What is LED lighting more susceptible to than incandescent light?,frost
Political_corruption,What is it called when a person is dishonest or corrupt for his own gain?,Gombeenism
Bacteria,Why were bacteria and archaea dominant forms of life?,most organisms were microscopic
Paris,How many council members will they have in 2016 from the union of the Right?,121
